Mobile Names,price
"OnePlus Nord 2 5G (Blue Haze, 128 GB)","₹29,999"
"OnePlus 9RT 5G (Hacker Black, 256 GB)","₹46,997"
"OnePlus Nord CE 2 5G (Bahama Blue, 128 GB)","₹24,997"
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹19,990"
"OnePlus 9RT 5G (Nano Silver, 128 GB)","₹42,999"
"OnePlus 9 Pro 5G (Stellar Black, 256 GB)","₹69,999"
"OnePlus 9 Pro 5G (Pine Green, 256 GB)","₹54,949"
"OnePlus 9 Pro 5G (Morning Mist, 128 GB)","₹49,900"
"OnePlus 9 Pro 5G (Stellar Black, 128 GB)","₹51,999"
"OnePlus 9 5G (Arctic Sky, 128 GB)","₹39,989"
"OnePlus 9 5G (Astral Black, 256 GB)","₹44,999"
"OnePlus 9 5G (Winter Mist, 256 GB)","₹42,999"
"OnePlus 9 5G (Arctic Sky, 256 GB)","₹44,900"
"OnePlus 9 Pro (Pine Green, 128 GB)","₹49,999"
"OnePlus 8 (Glacial Green, 128 GB)","₹55,631"
"OnePlus 9 5G (Astral Black, 128 GB)","₹37,999"
"OnePlus 9RT 5G (Hacker Black, 128 GB)","₹41,999"
"OnePlus 7T (Glacier Blue, 256 GB)","₹38,999"
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹19,990"
"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)","₹23,998"
"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)","₹24,990"
"OnePlus Nord 2 5G (Gray Sierra, 256 GB)","₹34,990"
"OnePlus Nord 2 5G (Blue Haze, 256 GB)","₹34,999"
"OnePlus 8 (Onyx Black, 128 GB)","₹44,999"
